metric,statistic,value,scenario,instance
acc,min,0.13314082,rbv2_rpart,41163
auc,min,0.45451662,rbv2_rpart,41163
bac,min,0.15884769,rbv2_rpart,41163
brier,min,0.44237575,rbv2_rpart,41163
f1,min,0.0,rbv2_rpart,41163
logloss,min,0.7484839,rbv2_rpart,41163
memory,min,1.7325363,rbv2_rpart,41163
timepredict,min,0.6341665,rbv2_rpart,41163
timetrain,min,2.2293546,rbv2_rpart,41163
acc,max,0.76276493,rbv2_rpart,41163
auc,max,0.91657054,rbv2_rpart,41163
bac,max,0.7542294,rbv2_rpart,41163
brier,max,0.89833516,rbv2_rpart,41163
f1,max,0.0025864244,rbv2_rpart,41163
logloss,max,7.8994107,rbv2_rpart,41163
memory,max,3048.013,rbv2_rpart,41163
timepredict,max,4.1530166,rbv2_rpart,41163
timetrain,max,38.707634,rbv2_rpart,41163
acc,min,0.27332765,rbv2_svm,181
auc,min,-3.2526065e-19,rbv2_svm,181
bac,min,-3.2526065e-19,rbv2_svm,181
brier,min,0.4277377,rbv2_svm,181
f1,min,0.0,rbv2_svm,181
logloss,min,0.9638476,rbv2_svm,181
memory,min,0.025995847,rbv2_svm,181
timepredict,min,0.022532659,rbv2_svm,181
timetrain,min,0.32039264,rbv2_svm,181
acc,max,0.693286,rbv2_svm,181
auc,max,0.92528284,rbv2_svm,181
bac,max,0.60791814,rbv2_svm,181
brier,max,0.8734991,rbv2_svm,181
f1,max,0.0035605133,rbv2_svm,181
logloss,max,1.8823097,rbv2_svm,181
memory,max,498.64944,rbv2_svm,181
timepredict,max,2.5268588,rbv2_svm,181
timetrain,max,1138.0227,rbv2_svm,181
acc,min,0.42330632,rbv2_aknn,60
auc,min,0.6176376,rbv2_aknn,60
bac,min,0.5439156,rbv2_aknn,60
brier,min,0.20496666,rbv2_aknn,60
f1,min,2.0861626e-07,rbv2_aknn,60
logloss,min,0.20735079,rbv2_aknn,60
memory,min,132.97571,rbv2_aknn,60
timepredict,min,0.090673216,rbv2_aknn,60
timetrain,min,0.51562876,rbv2_aknn,60
acc,max,0.9003747,rbv2_aknn,60
auc,max,0.98479694,rbv2_aknn,60
bac,max,0.8753965,rbv2_aknn,60
brier,max,0.86806715,rbv2_aknn,60
f1,max,0.026093274,rbv2_aknn,60
logloss,max,17.163431,rbv2_aknn,60
memory,max,605.6297,rbv2_aknn,60
timepredict,max,1.9947934,rbv2_aknn,60
timetrain,max,9.533747,rbv2_aknn,60
acc,min,0.62187356,rbv2_ranger,1494
auc,min,0.39535284,rbv2_ranger,1494
bac,min,0.41577652,rbv2_ranger,1494
brier,min,0.07895442,rbv2_ranger,1494
f1,min,0.7536733,rbv2_ranger,1494
logloss,min,0.29916814,rbv2_ranger,1494
memory,min,186.28036,rbv2_ranger,1494
timepredict,min,0.039133556,rbv2_ranger,1494
timetrain,min,0.22908334,rbv2_ranger,1494
acc,max,0.9041983,rbv2_ranger,1494
auc,max,0.95570934,rbv2_ranger,1494
bac,max,0.87564594,rbv2_ranger,1494
brier,max,0.23919539,rbv2_ranger,1494
f1,max,0.93245786,rbv2_ranger,1494
logloss,max,1.0335481,rbv2_ranger,1494
memory,max,769.6612,rbv2_ranger,1494
timepredict,max,1.024034,rbv2_ranger,1494
timetrain,max,41.210075,rbv2_ranger,1494
acc,min,0.14196992,rbv2_ranger,1478
auc,min,0.48983252,rbv2_ranger,1478
bac,min,0.12569962,rbv2_ranger,1478
brier,min,0.038604934,rbv2_ranger,1478
f1,min,4.7683716e-07,rbv2_ranger,1478
logloss,min,0.07305643,rbv2_ranger,1478
memory,min,0.0,rbv2_ranger,1478
timepredict,min,0.04922564,rbv2_ranger,1478
timetrain,min,0.4383697,rbv2_ranger,1478
acc,max,0.9863793,rbv2_ranger,1478
auc,max,0.999346,rbv2_ranger,1478
bac,max,0.98313785,rbv2_ranger,1478
brier,max,0.8557073,rbv2_ranger,1478
f1,max,0.013326198,rbv2_ranger,1478
logloss,max,2.0318606,rbv2_ranger,1478
memory,max,3157.0042,rbv2_ranger,1478
timepredict,max,17.788628,rbv2_ranger,1478
timetrain,max,2648.1982,rbv2_ranger,1478
acc,min,0.47205672,rbv2_xgboost,4135
auc,min,0.38073108,rbv2_xgboost,4135
bac,min,0.13371035,rbv2_xgboost,4135
brier,min,0.00040861694,rbv2_xgboost,4135
f1,min,5.9603646e-08,rbv2_xgboost,4135
logloss,min,0.002854987,rbv2_xgboost,4135
memory,min,0.0,rbv2_xgboost,4135
timepredict,min,0.022000507,rbv2_xgboost,4135
timetrain,min,0.6234652,rbv2_xgboost,4135
acc,max,1.0,rbv2_xgboost,4135
auc,max,1.0,rbv2_xgboost,4135
bac,max,0.96666694,rbv2_xgboost,4135
brier,max,1.8955756,rbv2_xgboost,4135
f1,max,0.9058172,rbv2_xgboost,4135
logloss,max,1.0163292,rbv2_xgboost,4135
memory,max,11477.576,rbv2_xgboost,4135
timepredict,max,5.4677525,rbv2_xgboost,4135
timetrain,max,2387.199,rbv2_xgboost,4135
acc,min,0.5136231,rbv2_glmnet,40981
auc,min,0.45569456,rbv2_glmnet,40981
bac,min,0.46307468,rbv2_glmnet,40981
brier,min,0.07953296,rbv2_glmnet,40981
f1,min,0.68040043,rbv2_glmnet,40981
logloss,min,0.28111333,rbv2_glmnet,40981
memory,min,277.02313,rbv2_glmnet,40981
timepredict,min,0.046544578,rbv2_glmnet,40981
timetrain,min,0.5414202,rbv2_glmnet,40981
acc,max,0.890673,rbv2_glmnet,40981
auc,max,0.9772674,rbv2_glmnet,40981
bac,max,0.8931601,rbv2_glmnet,40981
brier,max,0.283485,rbv2_glmnet,40981
f1,max,0.90185416,rbv2_glmnet,40981
logloss,max,2.0141149,rbv2_glmnet,40981
memory,max,417.98532,rbv2_glmnet,40981
timepredict,max,0.090499505,rbv2_glmnet,40981
timetrain,max,4.189386,rbv2_glmnet,40981
acc,min,0.089871004,rbv2_aknn,54
auc,min,0.29977664,rbv2_aknn,54
bac,min,0.08911213,rbv2_aknn,54
brier,min,0.3712259,rbv2_aknn,54
f1,min,0.0,rbv2_aknn,54
logloss,min,0.5153286,rbv2_aknn,54
memory,min,46.212833,rbv2_aknn,54
timepredict,min,0.037751015,rbv2_aknn,54
timetrain,min,0.13706867,rbv2_aknn,54
acc,max,0.7790623,rbv2_aknn,54
auc,max,0.9284987,rbv2_aknn,54
bac,max,0.7439781,rbv2_aknn,54
brier,max,1.639811,rbv2_aknn,54
f1,max,0.012380749,rbv2_aknn,54
logloss,max,33.24386,rbv2_aknn,54
memory,max,460.11008,rbv2_aknn,54
timepredict,max,0.84716415,rbv2_aknn,54
timetrain,max,2.9586108,rbv2_aknn,54
test_balanced_accuracy,min,0.31317964,lcbench,3945
test_cross_entropy,min,0.38088173,lcbench,3945
time,min,1.3681177,lcbench,3945
val_accuracy,min,15.986547,lcbench,3945
val_balanced_accuracy,min,0.32511845,lcbench,3945
val_cross_entropy,min,0.09390256,lcbench,3945
test_balanced_accuracy,max,0.89573276,lcbench,3945
test_cross_entropy,max,0.7424948,lcbench,3945
time,max,3868.758,lcbench,3945
val_accuracy,max,99.62601,lcbench,3945
val_balanced_accuracy,max,0.9069537,lcbench,3945
val_cross_entropy,max,15.934282,lcbench,3945
acc,min,0.20210989,rbv2_xgboost,40981
auc,min,0.1478738,rbv2_xgboost,40981
bac,min,0.44475284,rbv2_xgboost,40981
brier,min,0.06874987,rbv2_xgboost,40981
f1,min,0.2279204,rbv2_xgboost,40981
logloss,min,0.2811794,rbv2_xgboost,40981
memory,min,0.53063816,rbv2_xgboost,40981
timepredict,min,0.07373282,rbv2_xgboost,40981
timetrain,min,0.29797354,rbv2_xgboost,40981
acc,max,0.9143512,rbv2_xgboost,40981
auc,max,0.95873463,rbv2_xgboost,40981
bac,max,0.9042515,rbv2_xgboost,40981
brier,max,0.6136533,rbv2_xgboost,40981
f1,max,0.9193838,rbv2_xgboost,40981
logloss,max,14.663864,rbv2_xgboost,40981
memory,max,455.08362,rbv2_xgboost,40981
timepredict,max,2.028691,rbv2_xgboost,40981
timetrain,max,392.13553,rbv2_xgboost,40981
acc,min,0.5428621,rbv2_ranger,334
auc,min,0.36806333,rbv2_ranger,334
bac,min,0.36730802,rbv2_ranger,334
brier,min,0.038364444,rbv2_ranger,334
f1,min,0.61206305,rbv2_ranger,334
logloss,min,0.1582342,rbv2_ranger,334
memory,min,105.728485,rbv2_ranger,334
timepredict,min,0.027372677,rbv2_ranger,334
timetrain,min,0.26401013,rbv2_ranger,334
acc,max,0.9835289,rbv2_ranger,334
auc,max,0.99495256,rbv2_ranger,334
bac,max,0.9756973,rbv2_ranger,334
brier,max,0.27659798,rbv2_ranger,334
f1,max,0.9852452,rbv2_ranger,334
logloss,max,1.1423037,rbv2_ranger,334
memory,max,659.19,rbv2_ranger,334
timepredict,max,0.44548166,rbv2_ranger,334
timetrain,max,29.060404,rbv2_ranger,334
acc,min,0.8779538,rbv2_aknn,40983
auc,min,0.3527694,rbv2_aknn,40983
bac,min,0.45932212,rbv2_aknn,40983
brier,min,0.008901707,rbv2_aknn,40983
f1,min,0.8999498,rbv2_aknn,40983
logloss,min,0.041053988,rbv2_aknn,40983
memory,min,12.07922,rbv2_aknn,40983
timepredict,min,0.0692713,rbv2_aknn,40983
timetrain,min,0.3546195,rbv2_aknn,40983
acc,max,0.98875314,rbv2_aknn,40983
auc,max,0.97972536,rbv2_aknn,40983
bac,max,0.91510504,rbv2_aknn,40983
brier,max,0.0887896,rbv2_aknn,40983
f1,max,0.9953263,rbv2_aknn,40983
logloss,max,6.0232534,rbv2_aknn,40983
memory,max,602.7245,rbv2_aknn,40983
timepredict,max,2.078302,rbv2_aknn,40983
timetrain,max,11.287618,rbv2_aknn,40983
acc,min,0.87791365,rbv2_rpart,1068
auc,min,0.4005392,rbv2_rpart,1068
bac,min,0.43567854,rbv2_rpart,1068
brier,min,0.035151187,rbv2_rpart,1068
f1,min,0.9473975,rbv2_rpart,1068
logloss,min,0.1386976,rbv2_rpart,1068
memory,min,230.4337,rbv2_rpart,1068
timepredict,min,0.030976053,rbv2_rpart,1068
timetrain,min,0.20745994,rbv2_rpart,1068
acc,max,0.9590968,rbv2_rpart,1068
auc,max,0.73811924,rbv2_rpart,1068
bac,max,0.6770599,rbv2_rpart,1068
brier,max,0.094040215,rbv2_rpart,1068
f1,max,0.9789434,rbv2_rpart,1068
logloss,max,1.4931182,rbv2_rpart,1068
memory,max,461.7851,rbv2_rpart,1068
timepredict,max,0.10925965,rbv2_rpart,1068
timetrain,max,0.7169541,rbv2_rpart,1068
test_balanced_accuracy,min,0.45123938,lcbench,167184
test_cross_entropy,min,0.56286305,lcbench,167184
time,min,1.0683066,lcbench,167184
val_accuracy,min,31.071255,lcbench,167184
val_balanced_accuracy,min,0.46156943,lcbench,167184
val_cross_entropy,min,0.26530653,lcbench,167184
test_balanced_accuracy,max,0.7475895,lcbench,167184
test_cross_entropy,max,0.73404896,lcbench,167184
time,max,1467.2593,lcbench,167184
val_accuracy,max,84.42773,lcbench,167184
val_balanced_accuracy,max,0.7857628,lcbench,167184
val_cross_entropy,max,2.1744423,lcbench,167184
acc,min,0.6114288,rbv2_glmnet,1486
auc,min,0.44693604,rbv2_glmnet,1486
bac,min,0.42855844,rbv2_glmnet,1486
brier,min,0.032215595,rbv2_glmnet,1486
f1,min,0.0,rbv2_glmnet,1486
logloss,min,0.13824117,rbv2_glmnet,1486
memory,min,3.616548,rbv2_glmnet,1486
timepredict,min,0.12125592,rbv2_glmnet,1486
timetrain,min,2.3123167,rbv2_glmnet,1486
acc,max,0.9654269,rbv2_glmnet,1486
auc,max,0.98635346,rbv2_glmnet,1486
bac,max,0.9619915,rbv2_glmnet,1486
brier,max,0.23016325,rbv2_glmnet,1486
f1,max,0.9170233,rbv2_glmnet,1486
logloss,max,0.72736293,rbv2_glmnet,1486
memory,max,861.57104,rbv2_glmnet,1486
timepredict,max,0.88384074,rbv2_glmnet,1486
timetrain,max,60.488434,rbv2_glmnet,1486
test_balanced_accuracy,min,0.13395312,lcbench,189905
test_cross_entropy,min,0.74229753,lcbench,189905
time,min,0.32923716,lcbench,189905
val_accuracy,min,1.070654,lcbench,189905
val_balanced_accuracy,min,0.1587756,lcbench,189905
val_cross_entropy,min,0.14615959,lcbench,189905
test_balanced_accuracy,max,0.928821,lcbench,189905
test_cross_entropy,max,1.5597249,lcbench,189905
time,max,2186.3516,lcbench,189905
val_accuracy,max,96.34633,lcbench,189905
val_balanced_accuracy,max,0.9270989,lcbench,189905
val_cross_entropy,max,1.9059794,lcbench,189905
acc,min,0.4558093,rbv2_xgboost,40994
auc,min,0.24204986,rbv2_xgboost,40994
bac,min,0.47768572,rbv2_xgboost,40994
brier,min,0.022396063,rbv2_xgboost,40994
f1,min,1.7881295e-07,rbv2_xgboost,40994
logloss,min,0.15251423,rbv2_xgboost,40994
memory,min,5.3519983,rbv2_xgboost,40994
timepredict,min,0.06550369,rbv2_xgboost,40994
timetrain,min,0.2682182,rbv2_xgboost,40994
acc,max,0.94780004,rbv2_xgboost,40994
auc,max,0.9595268,rbv2_xgboost,40994
bac,max,0.8273718,rbv2_xgboost,40994
brier,max,0.35676846,rbv2_xgboost,40994
f1,max,0.745716,rbv2_xgboost,40994
logloss,max,10.03106,rbv2_xgboost,40994
memory,max,502.51004,rbv2_xgboost,40994
timepredict,max,1.482135,rbv2_xgboost,40994
timetrain,max,468.16968,rbv2_xgboost,40994
acc,min,0.48337686,rbv2_svm,1462
auc,min,0.06323963,rbv2_svm,1462
bac,min,0.292373,rbv2_svm,1462
brier,min,2.1891187e-06,rbv2_svm,1462
f1,min,0.36615658,rbv2_svm,1462
logloss,min,0.0015546955,rbv2_svm,1462
memory,min,63.59792,rbv2_svm,1462
timepredict,min,0.021804998,rbv2_svm,1462
timetrain,min,0.10860743,rbv2_svm,1462
acc,max,0.9999307,rbv2_svm,1462
auc,max,1.0,rbv2_svm,1462
bac,max,0.99953854,rbv2_svm,1462
brier,max,0.3369766,rbv2_svm,1462
f1,max,0.9999478,rbv2_svm,1462
logloss,max,0.9138167,rbv2_svm,1462
memory,max,382.28442,rbv2_svm,1462
timepredict,max,0.47937405,rbv2_svm,1462
timetrain,max,102.341675,rbv2_svm,1462
acc,min,0.6317094,rbv2_rpart,41156
auc,min,0.42035756,rbv2_rpart,41156
bac,min,0.4200009,rbv2_rpart,41156
brier,min,0.084988244,rbv2_rpart,41156
f1,min,0.8276435,rbv2_rpart,41156
logloss,min,0.290863,rbv2_rpart,41156
memory,min,247.91884,rbv2_rpart,41156
timepredict,min,0.029825248,rbv2_rpart,41156
timetrain,min,0.34159148,rbv2_rpart,41156
acc,max,0.92526346,rbv2_rpart,41156
auc,max,0.9237082,rbv2_rpart,41156
bac,max,0.8701318,rbv2_rpart,41156
brier,max,0.2236069,rbv2_rpart,41156
f1,max,0.92099476,rbv2_rpart,41156
logloss,max,2.072825,rbv2_rpart,41156
memory,max,500.18542,rbv2_rpart,41156
timepredict,max,0.18365219,rbv2_rpart,41156
timetrain,max,1.8744531,rbv2_rpart,41156
acc,min,0.37872556,rbv2_glmnet,23
auc,min,0.4709173,rbv2_glmnet,23
bac,min,0.29844052,rbv2_glmnet,23
brier,min,0.5301463,rbv2_glmnet,23
f1,min,0.0,rbv2_glmnet,23
logloss,min,0.832712,rbv2_glmnet,23
memory,min,295.31958,rbv2_glmnet,23
timepredict,min,0.03483156,rbv2_glmnet,23
timetrain,min,0.6310571,rbv2_glmnet,23
acc,max,0.60273993,rbv2_glmnet,23
auc,max,0.79362524,rbv2_glmnet,23
bac,max,0.5629492,rbv2_glmnet,23
brier,max,0.87288606,rbv2_glmnet,23
f1,max,5.3346157e-06,rbv2_glmnet,23
logloss,max,2.3329978,rbv2_glmnet,23
memory,max,411.78183,rbv2_glmnet,23
timepredict,max,0.08470488,rbv2_glmnet,23
timetrain,max,4.2693768,rbv2_glmnet,23
acc,min,0.6390412,rbv2_rpart,40994
auc,min,0.37429258,rbv2_rpart,40994
bac,min,0.39036247,rbv2_rpart,40994
brier,min,0.03554621,rbv2_rpart,40994
f1,min,0.0,rbv2_rpart,40994
logloss,min,0.1944588,rbv2_rpart,40994
memory,min,143.83055,rbv2_rpart,40994
timepredict,min,0.030451292,rbv2_rpart,40994
timetrain,min,0.23675191,rbv2_rpart,40994
acc,max,0.9090319,rbv2_rpart,40994
auc,max,0.87183297,rbv2_rpart,40994
bac,max,0.77131766,rbv2_rpart,40994
brier,max,0.19393429,rbv2_rpart,40994
f1,max,0.71666574,rbv2_rpart,40994
logloss,max,1.7019763,rbv2_rpart,40994
memory,max,469.00977,rbv2_rpart,40994
timepredict,max,0.16560215,rbv2_rpart,40994
timetrain,max,2.0935743,rbv2_rpart,40994
acc,min,0.9047209,rbv2_svm,1068
auc,min,0.33455068,rbv2_svm,1068
bac,min,0.40936098,rbv2_svm,1068
brier,min,0.037490897,rbv2_svm,1068
f1,min,0.9467455,rbv2_svm,1068
logloss,min,0.19017366,rbv2_svm,1068
memory,min,0.3178583,rbv2_svm,1068
timepredict,min,0.04131125,rbv2_svm,1068
timetrain,min,0.15887055,rbv2_svm,1068
acc,max,0.96010697,rbv2_svm,1068
auc,max,0.81468624,rbv2_svm,1068
bac,max,0.6540609,rbv2_svm,1068
brier,max,0.08059089,rbv2_svm,1068
f1,max,0.9796516,rbv2_svm,1068
logloss,max,0.40955955,rbv2_svm,1068
memory,max,365.61005,rbv2_svm,1068
timepredict,max,0.7448194,rbv2_svm,1068
timetrain,max,320.54092,rbv2_svm,1068
acc,min,0.3618356,rbv2_xgboost,151
auc,min,0.38920122,rbv2_xgboost,151
bac,min,0.21886148,rbv2_xgboost,151
brier,min,0.027689438,rbv2_xgboost,151
f1,min,1.0728832e-06,rbv2_xgboost,151
logloss,min,3.6996127e-05,rbv2_xgboost,151
memory,min,0.0,rbv2_xgboost,151
timepredict,min,0.022000507,rbv2_xgboost,151
timetrain,min,0.6028712,rbv2_xgboost,151
acc,max,1.0,rbv2_xgboost,151
auc,max,1.0,rbv2_xgboost,151
bac,max,0.99321455,rbv2_xgboost,151
brier,max,1.9331764,rbv2_xgboost,151
f1,max,0.989095,rbv2_xgboost,151
logloss,max,2.63502,rbv2_xgboost,151
memory,max,12922.7,rbv2_xgboost,151
timepredict,max,21.682045,rbv2_xgboost,151
timetrain,max,2419.895,rbv2_xgboost,151
acc,min,0.3900166,rbv2_ranger,11
auc,min,0.302483,rbv2_ranger,11
bac,min,0.24177901,rbv2_ranger,11
brier,min,0.18872073,rbv2_ranger,11
f1,min,5.364418e-07,rbv2_ranger,11
logloss,min,0.3903171,rbv2_ranger,11
memory,min,76.510315,rbv2_ranger,11
timepredict,min,0.027716406,rbv2_ranger,11
timetrain,min,0.21875161,rbv2_ranger,11
acc,max,0.9166951,rbv2_ranger,11
auc,max,0.9757215,rbv2_ranger,11
bac,max,0.7691683,rbv2_ranger,11
brier,max,0.6039075,rbv2_ranger,11
f1,max,0.075828314,rbv2_ranger,11
logloss,max,1.7194132,rbv2_ranger,11
memory,max,747.46204,rbv2_ranger,11
timepredict,max,0.8668195,rbv2_ranger,11
timetrain,max,13.03121,rbv2_ranger,11
acc,min,0.4868002,rbv2_svm,41212
auc,min,0.49339852,rbv2_svm,41212
bac,min,0.12851225,rbv2_svm,41212
brier,min,0.2611506,rbv2_svm,41212
f1,min,0.0,rbv2_svm,41212
logloss,min,0.514455,rbv2_svm,41212
memory,min,0.0,rbv2_svm,41212
timepredict,min,0.035402074,rbv2_svm,41212
timetrain,min,0.21168402,rbv2_svm,41212
acc,max,0.8184049,rbv2_svm,41212
auc,max,0.97408885,rbv2_svm,41212
bac,max,0.73913217,rbv2_svm,41212
brier,max,0.66181874,rbv2_svm,41212
f1,max,0.022977978,rbv2_svm,41212
logloss,max,1.2681866,rbv2_svm,41212
memory,max,512.1565,rbv2_svm,41212
timepredict,max,1.3978411,rbv2_svm,41212
timetrain,max,888.18445,rbv2_svm,41212
acc,min,0.35848808,rbv2_xgboost,41142
auc,min,0.39045483,rbv2_xgboost,41142
bac,min,0.4859421,rbv2_xgboost,41142
brier,min,0.07829797,rbv2_xgboost,41142
f1,min,0.22015318,rbv2_xgboost,41142
logloss,min,0.38185546,rbv2_xgboost,41142
memory,min,0.0,rbv2_xgboost,41142
timepredict,min,0.09157251,rbv2_xgboost,41142
timetrain,min,1.3557646,rbv2_xgboost,41142
acc,max,0.88047934,rbv2_xgboost,41142
auc,max,0.90852404,rbv2_xgboost,41142
bac,max,0.76980364,rbv2_xgboost,41142
brier,max,0.7652291,rbv2_xgboost,41142
f1,max,0.80494785,rbv2_xgboost,41142
logloss,max,13.841955,rbv2_xgboost,41142
memory,max,1754.9895,rbv2_xgboost,41142
timepredict,max,6.675723,rbv2_xgboost,41142
timetrain,max,1983.1565,rbv2_xgboost,41142
acc,min,0.60116905,rbv2_svm,334
auc,min,0.35546705,rbv2_svm,334
bac,min,0.33684292,rbv2_svm,334
brier,min,1.4308723e-05,rbv2_svm,334
f1,min,0.73573077,rbv2_svm,334
logloss,min,0.007694061,rbv2_svm,334
memory,min,146.08641,rbv2_svm,334
timepredict,min,0.032055534,rbv2_svm,334
timetrain,min,0.13379212,rbv2_svm,334
acc,max,0.9997068,rbv2_svm,334
auc,max,0.99993706,rbv2_svm,334
bac,max,0.9961641,rbv2_svm,334
brier,max,0.27944174,rbv2_svm,334
f1,max,0.99963784,rbv2_svm,334
logloss,max,0.8410179,rbv2_svm,334
memory,max,367.42804,rbv2_svm,334
timepredict,max,0.44449902,rbv2_svm,334
timetrain,max,37.74283,rbv2_svm,334
acc,min,0.04805747,rbv2_ranger,42
auc,min,-3.2526065e-19,rbv2_ranger,42
bac,min,-3.2526065e-19,rbv2_ranger,42
brier,min,0.041019015,rbv2_ranger,42
f1,min,0.0,rbv2_ranger,42
logloss,min,0.10661198,rbv2_ranger,42
memory,min,9.9625,rbv2_ranger,42
timepredict,min,0.026325133,rbv2_ranger,42
timetrain,min,0.12576592,rbv2_ranger,42
acc,max,0.98820966,rbv2_ranger,42
auc,max,0.9991573,rbv2_ranger,42
bac,max,0.98450583,rbv2_ranger,42
brier,max,0.94950294,rbv2_ranger,42
f1,max,0.0063925087,rbv2_ranger,42
logloss,max,3.6218417,rbv2_ranger,42
memory,max,771.59247,rbv2_ranger,42
timepredict,max,0.79925,rbv2_ranger,42
timetrain,max,151.06155,rbv2_ranger,42
acc,min,0.24523073,rbv2_glmnet,4538
auc,min,0.46456623,rbv2_glmnet,4538
bac,min,0.17056048,rbv2_glmnet,4538
brier,min,0.64215755,rbv2_glmnet,4538
f1,min,0.0,rbv2_glmnet,4538
logloss,min,1.2300947,rbv2_glmnet,4538
memory,min,366.40308,rbv2_glmnet,4538
timepredict,min,0.04947908,rbv2_glmnet,4538
timetrain,min,1.3790874,rbv2_glmnet,4538
acc,max,0.5078901,rbv2_glmnet,4538
auc,max,0.7988145,rbv2_glmnet,4538
bac,max,0.41682148,rbv2_glmnet,4538
brier,max,0.78477997,rbv2_glmnet,4538
f1,max,6.6161156e-06,rbv2_glmnet,4538
logloss,max,1.979302,rbv2_glmnet,4538
memory,max,706.1401,rbv2_glmnet,4538
timepredict,max,0.16884243,rbv2_glmnet,4538
timetrain,max,8.729448,rbv2_glmnet,4538
acc,min,0.07334582,rbv2_xgboost,40668
auc,min,-3.2526065e-19,rbv2_xgboost,40668
bac,min,-1.0000889e-12,rbv2_xgboost,40668
brier,min,-3.2526065e-19,rbv2_xgboost,40668
f1,min,-1.0000889e-12,rbv2_xgboost,40668
logloss,min,-3.448597e-11,rbv2_xgboost,40668
memory,min,0.0,rbv2_xgboost,40668
timepredict,min,0.022000507,rbv2_xgboost,40668
timetrain,min,0.123,rbv2_xgboost,40668
acc,max,1.0,rbv2_xgboost,40668
auc,max,1.0,rbv2_xgboost,40668
bac,max,1.0,rbv2_xgboost,40668
brier,max,1.9935569,rbv2_xgboost,40668
f1,max,1.0,rbv2_xgboost,40668
logloss,max,34.482903,rbv2_xgboost,40668
memory,max,13082.484,rbv2_xgboost,40668
timepredict,max,67.76711,rbv2_xgboost,40668
timetrain,max,2540.641,rbv2_xgboost,40668
acc,min,0.06544961,rbv2_rpart,1501
auc,min,0.45238122,rbv2_rpart,1501
bac,min,0.076051,rbv2_rpart,1501
brier,min,0.42102435,rbv2_rpart,1501
f1,min,0.0,rbv2_rpart,1501
logloss,min,1.4310387,rbv2_rpart,1501
memory,min,248.47101,rbv2_rpart,1501
timepredict,min,0.038085856,rbv2_rpart,1501
timetrain,min,0.34004965,rbv2_rpart,1501
acc,max,0.74198115,rbv2_rpart,1501
auc,max,0.96257514,rbv2_rpart,1501
bac,max,0.7818534,rbv2_rpart,1501
brier,max,1.0672898,rbv2_rpart,1501
f1,max,0.0021252632,rbv2_rpart,1501
logloss,max,16.22119,rbv2_rpart,1501
memory,max,494.39102,rbv2_rpart,1501
timepredict,max,0.18247427,rbv2_rpart,1501
timetrain,max,2.9349635,rbv2_rpart,1501
acc,min,0.06435741,rbv2_xgboost,41164
auc,min,0.20031571,rbv2_xgboost,41164
bac,min,-1.0000889e-12,rbv2_xgboost,41164
brier,min,5.8150394e-12,rbv2_xgboost,41164
f1,min,-1.0000889e-12,rbv2_xgboost,41164
logloss,min,-3.448597e-11,rbv2_xgboost,41164
memory,min,0.0,rbv2_xgboost,41164
timepredict,min,0.022000507,rbv2_xgboost,41164
timetrain,min,0.123,rbv2_xgboost,41164
acc,max,1.0,rbv2_xgboost,41164
auc,max,1.0,rbv2_xgboost,41164
bac,max,0.9999858,rbv2_xgboost,41164
brier,max,1.9935569,rbv2_xgboost,41164
f1,max,1.0,rbv2_xgboost,41164
logloss,max,34.482903,rbv2_xgboost,41164
memory,max,13082.484,rbv2_xgboost,41164
timepredict,max,153.72083,rbv2_xgboost,41164
timetrain,max,2539.3525,rbv2_xgboost,41164
acc,min,0.44594827,rbv2_glmnet,41027
auc,min,0.43054852,rbv2_glmnet,41027
bac,min,0.25625902,rbv2_glmnet,41027
brier,min,0.418278,rbv2_glmnet,41027
f1,min,0.0,rbv2_glmnet,41027
logloss,min,0.68818676,rbv2_glmnet,41027
memory,min,391.55847,rbv2_glmnet,41027
timepredict,min,0.050309673,rbv2_glmnet,41027
timetrain,min,1.4942856,rbv2_glmnet,41027
acc,max,0.69493335,rbv2_glmnet,41027
auc,max,0.8682899,rbv2_glmnet,41027
bac,max,0.5393803,rbv2_glmnet,41027
brier,max,0.7669528,rbv2_glmnet,41027
f1,max,0.0031078458,rbv2_glmnet,41027
logloss,max,2.437939,rbv2_glmnet,41027
memory,max,605.4771,rbv2_glmnet,41027
timepredict,max,0.18071948,rbv2_glmnet,41027
timetrain,max,12.2850895,rbv2_glmnet,41027
acc,min,0.5151316,rbv2_ranger,40981
auc,min,0.3957331,rbv2_ranger,40981
bac,min,0.40797117,rbv2_ranger,40981
brier,min,0.071481295,rbv2_ranger,40981
f1,min,0.59648013,rbv2_ranger,40981
logloss,min,0.2447089,rbv2_ranger,40981
memory,min,87.69669,rbv2_ranger,40981
timepredict,min,0.028772146,rbv2_ranger,40981
timetrain,min,0.20732269,rbv2_ranger,40981
acc,max,0.9124153,rbv2_ranger,40981
auc,max,0.9818055,rbv2_ranger,40981
bac,max,0.9304932,rbv2_ranger,40981
brier,max,0.2644916,rbv2_ranger,40981
f1,max,0.9134686,rbv2_ranger,40981
logloss,max,1.0944271,rbv2_ranger,40981
memory,max,521.53357,rbv2_ranger,40981
timepredict,max,0.55145895,rbv2_ranger,40981
timetrain,max,98.3288,rbv2_ranger,40981
acc,min,0.03023222,rbv2_svm,307
auc,min,0.3534739,rbv2_svm,307
bac,min,1.1918901e-07,rbv2_svm,307
brier,min,0.008482495,rbv2_svm,307
